id;chemin_non;type;chemin_valide;chemin_marche;chemin_description
1;Outdoors Soft;Embed;true;false;b
2;Sausages;Embed;true;true;user-centric monetize
3;ivory Fresh seize;Embed;false;true;Bretagne
4;Charlemagne;Embed;false;true;seize Sleek navigate
5;auxiliary Virtual;Embed;false;false;Chips
6;Multi-lateral Analyste;Direct;true;true;Pizza structure
7;alarm a Rustic;Direct;false;true;Awesome Cambridgeshire
8;moderator salmon quantifying;Direct;false;true;generation c Mouse
9;USB invoice;Direct;false;true;withdrawal de Jewelery
10;Chicken;Direct;false;true;Balanced
